location,population,positive_rate,case_rate_per_100k,mortality_rate_per_100k,testing_rate_per_1k,vaccination_rate_pct,hospitalization_rate_per_100k,icu_rate_per_100k,case_fatality_rate_pct,recent_case_growth,recent_death_growth,case_to_test_ratio,days_to_peak,peak_case_rate_per_100k,recovery_speed,days_to_50pct_vax,vax_acceleration
France,67813000,,57507.39533717724,247.87430138763955,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.43103030477089677,0.0,0.0,0.0,728.0,3564.2767610930055,-114.02100557987887,222.0,0.08512360731870232
French Guiana,304568,,32190.184129652494,135.60190170996296,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.42125233320753563,0.0,0.0,0.0,679.0,3708.531428121142,-0.15528793999000384,209.0,0.07965035055223063
French Polynesia,306292,,25918.731145442907,212.21579407885287,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.8187738546613424,2.5714285714285716,0.0,0.0,525.0,2625.599101510976,-0.14490610574108923,278.0,0.10998678438419814
Gabon,2388997,,2053.204754966205,12.850581227184463,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.6258791869686653,0.0,0.0,0.0,658.0,122.56189522213715,-0.04241384792232252,209.0,0.023806745108790273
Gambia,2705995,,466.6305739663229,13.747253782804476,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,2.9460679496317415,0.0,0.0,0.0,497.0,35.587648905485786,-0.01588792954982785,209.0,0.02569485279012337
Georgia,3744385,,49770.92366303145,458.01914065994816,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.9202544516973731,5.523809523809524,0.0,0.0,707.0,4054.8714942507245,-2.9833376268954646,209.0,0.10477067565261024
Germany,83369840,,46105.10947364179,209.8828545190923,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.4552268868141002,0.0,0.0,0.0,812.0,1905.834292113311,-102.34760007151766,192.0,0.09263676461797583
Ghana,33475870,,513.9881353344962,4.367324882071773,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.8496937150562007,0.23809523809523808,0.0,0.0,651.0,21.690250320604065,-0.1602602560516031,209.0,0.05487871921156702
Gibraltar,32677,,62888.270037029106,345.8089787924228,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.5498783454987834,0.0,0.0,0.0,693.0,3213.269271964991,-0.04526795773366738,39.0,0.20247059732162298
Greece,10384972,,54633.57050938607,378.02701827217254,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.6919317458982978,826.3809523809524,6.142857142857143,0.0,679.0,2323.7520524850715,-16.09805211007711,198.0,0.042611889426097165
Greenland,56494,,21189.860870180903,37.172089071405814,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.1754239411912121,0.0,0.0,0.0,665.0,5393.493114313024,-0.029562786735831487,163.0,0.23782162136405727
Grenada,125459,,15696.761491802103,189.70340908185145,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.2085512618696999,0.0,0.0,0.0,658.0,1487.3384930535076,-0.056770151680104075,209.0,0.055909263893969656
Guadeloupe,395762,,51352.83326847954,257.98333341755904,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.5023740989494919,0.0,0.0,0.0,679.0,4317.99920154032,-0.6015570116978568,209.0,0.07965035055223063
Guam,171783,,30437.819807547894,243.9123778255124,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.8013464149788667,0.0,0.0,0.0,693.0,3436.3120914176607,-0.0882326980364819,209.0,0.07965035055223063
Guatemala,17843914,,7007.268696766863,113.22067568808053,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.615760442300725,0.19047619047619047,0.0,0.0,854.0,214.29715476100142,-2.203405067719525,209.0,0.07634538990657072
Guernsey,63329,,55781.71138025233,105.79671240663833,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.18966200532185926,0.0,0.0,0.0,749.0,4636.106680983436,-0.08238431832021648,352.0,0.07965035055223063
Guinea,13859349,,278.310330449143,3.376781983049853,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.2133153582909884,0.0,0.0,0.0,665.0,13.030915088435972,-0.018729274308623693,209.0,0.04630928885728419
Guinea-Bissau,2105580,,456.5962822595199,8.40623486165332,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.841065113376326,0.0,0.0,0.0,665.0,20.42192650006174,-0.008020057597522386,209.0,0.03848258948925045
Guyana,808727,,9204.96038836344,160.99375932793143,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.7489891594911544,2.142857142857143,0.0,0.0,679.0,812.6351661314634,-0.08724290555276466,209.0,0.09664199171070081
Haiti,11585003,,297.4189993735867,7.423390395324025,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,2.495936846993267,0.0,0.0,0.0,77.0,11.566678057830455,-0.03860061233939479,209.0,0.004151995509254124
Honduras,10432858,,4532.756029076596,106.52881501885678,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,2.35019962105833,0.42857142857142855,0.0,0.0,525.0,101.55414748288533,-0.474591105824356,420.0,0.08982445153982498
Hong Kong,7488863,,0.0,0.0,0.0,90.84592681158675,0.21161537748486647,0.021358694932478755,0.8372726045896857,0.0,0.0,0.0,679.0,0.0,0.0,195.0,0.08019106908434935
Hungary,9967304,,22381.177497947287,492.1390979948038,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,2.1988972565895644,12.0,0.09523809523809523,0.0,700.0,1088.4387593676283,-2.945873846983498,167.0,0.11491294192031255
Iceland,372903,,56415.20717183826,49.87892293706407,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.08841396750549022,5.571428571428571,0.0,0.0,763.0,5266.785196150206,-0.3636842194825958,161.0,0.24432649674784052
India,1417173120,,3178.281281541665,37.65404469427136,0.0,67.17531814320611,0.21161537748486647,0.021358694932478755,1.184729775585086,34.3448275862069,0.034482758620689655,0.0,462.0,193.26904817387447,-68.91995415818856,352.0,0.0550686727102611
